Time period,Time identifier,Geographic level,Country name,Country code,Region name,Region code,LA name,LA code (old),LA code (new),School phase,School Name,School LA Estab ID,URN,Total Revenue Balance (£),B01 Committed revenue balance (£),B02 Uncommitted revenue balance (£),B06 Community focussed extended school revenue balance (£),Total revenue balance as a % of total income
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Nursery,Bensham Grove Nursery School,3901000,108320,2273.22,2273.22,0,0,0.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Carr Hill Community Primary School,3902008,108321,250498,250498,0,0,13.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Kelvin Grove Community Primary School,3902012,108323,159978.6,159978.6,0,0,8.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,South Street Community Primary School,3902036,108326,3665.68,3665.68,0,0,0.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Bede Community Primary School,3902039,108327,77397.09,77397.09,0,0,5.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Junior School,3902049,108329,72099.28,72099.28,0,0,6.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Larkspur Community Primary School,3902051,108330,81010.28,81010.28,0,0,9.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Oakfield Infant School,3902055,108332,36314.62,36314.62,0,0,4.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ravensworth Terrace Primary School,3902056,108333,-112481.2,0,-112481.2,0,-7.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Portobello Primary School,3902162,108336,53720.02,53720.02,0,0,5.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Birtley East Community Primary School,3902163,108337,60666.12,60666.12,0,0,4.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Dunston Hill Community Primary School,3902164,108338,70139.64,70139.64,0,0,3.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Emmaville Primary School,3902167,108339,79024.97,79024.97,0,0,4.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,High Spen Primary School,3902168,108340,41909.97,41909.97,0,0,4.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Swalwell Primary School,3902172,108342,119964.8,119964.8,0,0,10.9
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Winlaton West Lane Community Primary School,3902177,108346,122114.4,122114.4,0,0,6.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Greenside Primary School,3902181,108348,5086.69,5086.69,0,0,0.5
