URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,SchoolCapacity,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Trusts (name),FederationFlag (name),Federations (name),UKPRN,GOR (name),UrbanRural (name),GSSLACode (name),Easting,Northing,UPRN
108320,390,Gateshead,1000,Bensham Grove Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,3,5,,53,23,30,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000037,424627,562047,10022993226
108321,390,Gateshead,2008,Carr Hill Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,369,322,173,149,53.6,,Not under a federation,,10072227,North East,(England/Wales) Urban major conurbation,E08000037,426744,561366,10022985209
108323,390,Gateshead,2012,Kelvin Grove Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,390,357,190,167,38.7,,Not under a federation,,10072226,North East,(England/Wales) Urban major conurbation,E08000037,425060,561609,10022989508
108326,390,Gateshead,2036,South Street Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,310,266,133,133,46.1,,Not under a federation,,10072225,North East,(England/Wales) Urban major conurbation,E08000037,425841,562067,10022993360
108327,390,Gateshead,2039,Bede Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,220,116,104,44.3,,Not under a federation,,10072224,North East,(England/Wales) Urban major conurbation,E08000037,426833,562578,10022991299
108329,390,Gateshead,2049,Oakfield Junior School,Community school,Local authority maintained schools,Open,,,Primary,7,11,240,238,121,117,5,,Not under a federation,,10079874,North East,(England/Wales) Urban major conurbation,E08000037,425575,559435,1.00E+11
108330,390,Gateshead,2051,Larkspur Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,203,132,64,68,60.2,,Not under a federation,,10072223,North East,(England/Wales) Urban major conurbation,E08000037,427397,559926,1.00E+11
108332,390,Gateshead,2055,Oakfield Infant School,Community school,Local authority maintained schools,Open,,,Primary,4,7,180,180,90,90,1.1,,Not under a federation,,10070886,North East,(England/Wales) Urban major conurbation,E08000037,425578,559316,2.00E+11
108333,390,Gateshead,2056,Ravensworth Terrace Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,420,331,175,156,15.1,,Not under a federation,,10069025,North East,(England/Wales) Urban major conurbation,E08000037,427779,556053,10022984377
108336,390,Gateshead,2162,Portobello Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,189,193,103,90,10.9,,Not under a federation,,10077330,North East,(England/Wales) Urban major conurbation,E08000037,427812,554837,10022994095
108337,390,Gateshead,2163,Birtley East Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,308,231,116,115,40.6,,Not under a federation,,10072222,North East,(England/Wales) Urban major conurbation,E08000037,427402,556908,10022989185
108338,390,Gateshead,2164,Dunston Hill Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,420,448,228,220,28.3,,Not under a federation,,10072221,North East,(England/Wales) Urban major conurbation,E08000037,422365,561639,10070838063
108339,390,Gateshead,2167,Emmaville Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,420,445,231,214,11.3,,Not under a federation,,10072220,North East,(England/Wales) Urban major conurbation,E08000037,413709,563753,1.00E+11
108340,390,Gateshead,2168,High Spen Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,240,188,86,102,28.8,,Not under a federation,,10068761,North East,(England/Wales) Rural town and fringe,E08000037,413917,559478,10022989359
108342,390,Gateshead,2172,Swalwell Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,161,78,83,50.4,,Not under a federation,,10068760,North East,(England/Wales) Urban major conurbation,E08000037,420781,561851,2.00E+11
108346,390,Gateshead,2177,Winlaton West Lane Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,424,419,221,198,25.1,,Not under a federation,,10072219,North East,(England/Wales) Urban major conurbation,E08000037,417285,561869,10022994935
108348,390,Gateshead,2181,Greenside Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,216,101,115,13.2,,Not under a federation,,10072218,North East,(England/Wales) Urban city and town,E08000037,413786,562015,10070837319
108349,390,Gateshead,2182,Blaydon West Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,,195,106,89,18.4,,Not under a federation,,10072217,North East,(England/Wales) Urban major conurbation,E08000037,418344,563259,10022994378
108350,390,Gateshead,2184,Front Street Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,472,430,215,215,13,,Not under a federation,,10075855,North East,(England/Wales) Urban major conurbation,E08000037,420478,561448,10070837327
108351,390,Gateshead,2186,Highfield Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,158,140,61,79,30.8,,Not under a federation,,10072216,North East,(England/Wales) Rural town and fringe,E08000037,415556,558478,10022990151
108352,390,Gateshead,2188,Ryton Community Infant School,Community school,Local authority maintained schools,Open,,,Primary,2,7,200,140,66,74,21.7,,Not under a federation,,10070885,North East,(England/Wales) Urban major conurbation,E08000037,414465,564161,2.00E+11
108355,390,Gateshead,2193,Ryton Junior School,Community school,Local authority maintained schools,Open,23/05/1972,,Primary,7,11,236,158,83,75,17.7,,Not under a federation,,10078239,North East,(England/Wales) Urban major conurbation,E08000037,414307,564254,10022990321
108356,390,Gateshead,2194,Washingwell Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,223,135,71,64,17.2,,Not under a federation,,10077329,North East,(England/Wales) Urban major conurbation,E08000037,421360,560553,10022984894
108357,390,Gateshead,2197,Bill Quay Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,209,203,113,90,12.8,,Not under a federation,,10077328,North East,(England/Wales) Urban major conurbation,E08000037,429795,562629,10022986284
108358,390,Gateshead,2198,Falla Park Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,236,117,119,55.6,,Not under a federation,,10072215,North East,(England/Wales) Urban major conurbation,E08000037,427356,561655,2.00E+11
108359,390,Gateshead,2200,Brandling Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,189,200,98,102,43.3,,Not under a federation,,10068759,North East,(England/Wales) Urban major conurbation,E08000037,427692,562179,1.00E+11
108360,390,Gateshead,2205,Lingey House Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,524,467,238,229,22.2,,Not under a federation,,10072214,North East,(England/Wales) Urban major conurbation,E08000037,429632,561174,1.00E+11
108361,390,Gateshead,2213,The Drive Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,219,197,90,107,37.7,,Not under a federation,,10072213,North East,(England/Wales) Urban major conurbation,E08000037,428379,561758,10022986515
108362,390,Gateshead,2214,White Mere Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,205,165,84,81,8.7,,Not under a federation,,10072212,North East,(England/Wales) Urban major conurbation,E08000037,430070,560963,10022993098
108363,390,Gateshead,2216,Clover Hill Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,210,208,113,95,5.3,,Not under a federation,,10069024,North East,(England/Wales) Urban major conurbation,E08000037,419970,559880,2.00E+11
108366,390,Gateshead,2219,Crookhill Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,210,189,103,86,27.5,,Not under a federation,,10069023,North East,(England/Wales) Urban major conurbation,E08000037,416314,563998,10022989030
108368,390,Gateshead,2221,Brighton Avenue Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,330,324,159,165,39.7,,Not under a federation,,10072211,North East,(England/Wales) Urban major conurbation,E08000037,424787,562044,1.00E+11
108369,390,Gateshead,2222,Lobley Hill Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,480,420,214,206,20.7,,Not under a federation,,10046101,North East,(England/Wales) Urban major conurbation,E08000037,423306,560562,10022992628
108371,390,Gateshead,2224,Wardley Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,315,294,175,119,26.8,,Not under a federation,,10072210,North East,(England/Wales) Urban major conurbation,E08000037,429517,561812,10022989478
108372,390,Gateshead,2225,Glynwood Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,480,454,211,243,25,,Not under a federation,,10072209,North East,(England/Wales) Urban major conurbation,E08000037,426453,560240,10022988514
108373,390,Gateshead,2226,Barley Mow Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,262,187,95,92,26.1,,Not under a federation,,10072208,North East,(England/Wales) Urban major conurbation,E08000037,427658,554480,1.00E+11
108374,390,Gateshead,2227,Windy Nook Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,315,335,156,179,22,,Not under a federation,,10072207,North East,(England/Wales) Urban major conurbation,E08000037,427828,560885,10022983589
108375,390,Gateshead,2228,Colegate Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,315,164,85,79,34.9,,Not under a federation,,10068758,North East,(England/Wales) Urban major conurbation,E08000037,428623,561093,10022985694
108376,390,Gateshead,2229,Roman Road Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,228,113,115,37.9,,Not under a federation,,10007998,North East,(England/Wales) Urban major conurbation,E08000037,429126,560102,10022989988
108378,390,Gateshead,2231,Fellside Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,240,117,123,2.2,,Not under a federation,,10072206,North East,(England/Wales) Urban major conurbation,E08000037,419991,560595,10022987763
108379,390,Gateshead,2232,Fell Dyke Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,360,299,149,150,50.7,,Not under a federation,,10072205,North East,(England/Wales) Urban major conurbation,E08000037,427835,559271,10022993451
108380,390,Gateshead,2233,Caedmon Community Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,249,126,123,43.3,,Not under a federation,,10072204,North East,(England/Wales) Urban major conurbation,E08000037,425388,562061,10022995108
108381,390,Gateshead,3001,Whickham Parochial Church of England Primary School,Voluntary controlled school,Local authority maintained schools,Open,,,Primary,4,11,210,206,104,102,2.9,,Not under a federation,,10075787,North East,(England/Wales) Urban major conurbation,E08000037,419953,560145,10022984866
108382,390,Gateshead,3313,Corpus Christi Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,203,218,112,106,22.1,,Not under a federation,,10078167,North East,(England/Wales) Urban major conurbation,E08000037,425014,561653,10070837318
108383,390,Gateshead,3317,St Joseph's Roman Catholic Voluntary Aided Primary School Gateshead,Voluntary aided school,Local authority maintained schools,Open but proposed to close,,31/05/2021,Primary,4,11,210,179,91,88,29.6,,Not under a federation,,10074474,North East,(England/Wales) Urban major conurbation,E08000037,425517,562610,10022992858
108385,390,Gateshead,3319,St Peter's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,215,121,94,1.9,,Not under a federation,,10074472,North East,(England/Wales) Urban major conurbation,E08000037,426002,560839,10022986617
108388,390,Gateshead,3324,St Joseph's Catholic Junior School Birtley,Voluntary aided school,Local authority maintained schools,Open,,,Primary,7,11,120,115,61,54,17.4,,Not under a federation,,10074470,North East,(England/Wales) Urban major conurbation,E08000037,427283,555534,10022993019
